"pergunta","resposta"
"O Computador Não Liga","Verifique se o cabo de energia está corretamente ligado. Teste outra tomada ou cabo de alimentação. Se for um portátil, remova e volte a colocar a bateria. Pressione e mantenha o botão de ligar/desligar durante 10 segundos para reinicializar. Se continuar sem ligar, pode ser um problema na fonte de alimentação ou na motherboard."
"O Windows Está Lento","Reinicie o computador para libertar memória. Desactive programas que iniciam automaticamente (Gestor de Tarefas > Arranque). Faça uma limpeza de disco (Explorador de Ficheiros > Disco Local (C:) > Propriedades > Limpeza de Disco). Desfragmente o disco rígido (se não for SSD). Verifique se há actualizações pendentes do Windows."
"A Internet Não Funciona","Reinicie o router e o modem. Verifique se o Wi-Fi está activado. Utilize a ferramenta 'Resolução de Problemas de Rede' (Definições > Rede e Internet > Resolver Problemas). Execute os seguintes comandos no Prompt de Comando (CMD) como administrador: ipconfig /release, ipconfig /renew, netsh winsock reset. Confirme se os controladores do adaptador de rede estão actualizados."
"Tela Azul da Morte (BSOD)","Anote o código de erro apresentado. Verifique se há drivers desactualizados no Gestor de Dispositivos. Utilize o comando sfc /scannow no Prompt de Comando para detectar erros no sistema. Desinstale hardware ou software recentemente instalados. Execute a ferramenta 'Verificador de Disco' com o comando chkdsk /f /r."
"O Windows Não Arranca","Tente iniciar o computador no 'Modo Seguro' premindo F8 ou Shift + F8 ao arrancar. Utilize a opção 'Reparação de Arranque' através de uma Pen USB de instalação do Windows. Use a 'Restauração do Sistema' para voltar a um ponto anterior. Se nada funcionar, reinstale o Windows."
"Problemas com Actualizações do Windows","Verifique se há espaço livre no disco para a instalação. Utilize a ferramenta 'Resolução de Problemas do Windows Update'. Limpe a cache do Windows Update executando os comandos: net stop wuauserv, net stop bits, del %systemroot%\\SoftwareDistribution /q /s, net start wuauserv, net start bits. Se uma actualização causar problemas, desinstale-a em 'Painel de Controlo > Programas e Funcionalidades > Ver Actualizações Instaladas'."
"O Windows Não Reconhece Dispositivos USB","Teste a porta USB com outro dispositivo. Reinicie o computador e tente novamente. Actualize os drivers USB no Gestor de Dispositivos. Execute devmgmt.msc, localize 'Controladores USB', desinstale o dispositivo problemático e reinicie o computador."
"Arquivos Foram Apagados Acidentalmente","Verifique a Reciclagem. Utilize a opção 'Restaurar Versões Anteriores' (clique com o botão direito na pasta afectada). Use programas de recuperação de dados como Recuva para tentar restaurar os ficheiros eliminados."
"Problemas com o Áudio","Verifique se o volume está activado e se os auscultadores/colunas estão bem ligados. Actualize os drivers de áudio no Gestor de Dispositivos. Utilize a ferramenta 'Resolução de Problemas de Áudio' (Definições > Sistema > Som > Resolver Problemas). Reinicie o serviço de áudio através do comando services.msc, localize 'Windows Audio', clique com o botão direito e seleccione 'Reiniciar'."
"O Windows Exibe Erros Aleatórios","Execute uma verificação de integridade do sistema com sfc /scannow e DISM /Online /Cleanup-Image /RestoreHealth. Verifique se há programas recentemente instalados que possam estar a causar conflitos. Se os erros persistirem, considere restaurar o sistema ou reinstalar o Windows."
"O Teclado Não Funciona","Confirme se o teclado está bem ligado ou, se for sem fios, troque as pilhas. Teste noutra porta USB ou noutro computador. Actualize os drivers do teclado no Gestor de Dispositivos."
"O Rato Não Responde","Ligue o rato noutra porta USB ou troque as pilhas, se for sem fios. Verifique se há sujidade no sensor óptico. Teste com outro rato para confirmar se o problema é do dispositivo ou do computador."
"O Monitor Não Liga","Verifique se o cabo de alimentação está correctamente ligado. Teste com outro cabo HDMI, VGA ou DisplayPort. Conecte o monitor a outro computador para excluir problemas no próprio ecrã."
"O Computador Reinicia Sozinho","Verifique se há sobreaquecimento e limpe os ventiladores e dissipadores de calor. Teste com outra fonte de alimentação. Execute uma verificação da memória RAM com o comando 'mdsched.exe'."
"O Computador Não Reconhece o Disco Rígido ou SSD","Verifique se os cabos SATA ou de alimentação estão bem ligados. Aceda à BIOS para ver se o disco está a ser detectado. Se não aparecer, pode estar avariado e precisar de substituição."
"A Webcam Não Funciona","Verifique se a câmara está activada nas definições do sistema. Actualize ou reinstale os drivers da webcam no Gestor de Dispositivos. Teste noutro programa para descartar problemas de software."
"O Microfone Não Capta Som","Verifique se o microfone está activado e o volume está ajustado. Teste noutro dispositivo para ver se é um problema de hardware. Actualize os drivers de áudio."
"A Bateria do Portátil Não Carrega","Verifique se o carregador funciona e teste com outro carregador compatível. Remova a bateria e ligue o portátil apenas com o carregador para verificar se o problema está na bateria ou no carregador. Se a bateria não carregar, pode estar desgastada e precisar de substituição."
"O Windows Não Reconhece a Placa Gráfica","Verifique no Gestor de Dispositivos se a placa está a ser detectada. Actualize os drivers da gráfica. Se a placa não for reconhecida, pode ser necessário reinstalar os drivers ou verificar a ligação física no computador."
"O PC Está a Aquecer Demasiado","Verifique se os ventiladores estão a funcionar correctamente. Limpe o pó dos dissipadores e da ventoinha. Substitua a pasta térmica do processador, se necessário. Use software como HWMonitor para monitorizar temperaturas."
"O Windows Não Detecta a Ligação Wi-Fi","Certifique-se de que o Wi-Fi está activado no portátil. Reinicie o router e o computador. Actualize os drivers do adaptador Wi-Fi no Gestor de Dispositivos. Tente ligar a outra rede Wi-Fi para ver se o problema persiste."
"A Impressora Não Liga","Verifique se o cabo de alimentação está bem ligado e se a tomada funciona. Tente ligar a impressora noutra tomada. Se for uma impressora com bateria, carregue-a antes de tentar ligar novamente."
"A Impressora Não Imprime","Verifique se há papel na bandeja e se os tinteiros ou toner estão instalados correctamente. Reinicie a impressora e o computador. Confirme se a impressora está definida como predefinida nas definições do sistema."
"A Impressora Imprime em Branco","Verifique os níveis de tinta ou toner. Execute uma limpeza dos cabeçotes de impressão no software da impressora. Substitua os tinteiros se necessário."
"A Impressora Não É Reconhecida pelo Computador","Verifique se a impressora está bem ligada por cabo USB ou Wi-Fi. Atualize os drivers da impressora. Reinicie a impressora e o computador."
"A Impressora Fica com Impressões Presas na Fila","Abra 'Dispositivos e Impressoras', clique com o botão direito na impressora e selecione 'Ver Fila de Impressão'. Cancele os documentos pendentes e reinicie o serviço de impressão no Windows."
